item_id,condition_id,text,audio_file
1,wh,Who were we recently talking with about this?,1_wh.mp3
1,wh_fronted,Who were we recently talking about this with?,1_wh_fronted.mp3
1,wh_inverted,Who were we recently talking about with this?,1_wh_inverted.mp3
1,wh_fronted_inverted,Who were we recently talking with this about?,1_wh_fronted_inverted.mp3
1,aux,Were we recently talking with him about this?,1_aux.mp3
1,aux_fronted,Were we recently talking about this with him?,1_aux_fronted.mp3
1,aux_inverted,Were we recently talking about him with this?,1_aux_inverted.mp3
1,aux_fronted_inverted,Were we recently talking with this about him?,1_aux_fronted_inverted.mp3
